"114年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"114","1","1,160.00","1,055.00","1,105.45","919,543","726,797,248,009","657,463,196","2.53",
"114","2","1,125.00","1,040.00","1,080.46","1,468,127","875,610,658,322","810,404,696","3.12",
"114","3","1,030.00","910.00","981.73","2,900,880","906,393,421,551","923,259,084","3.56",
"114","4","952.00","780.00","857.35","2,768,815","811,308,828,037","946,297,147","3.64",
"114","5","1,000.00","911.00","963.02","1,178,011","675,896,918,110","701,849,120","2.70",
"114","6","1,080.00","946.00","1,032.18","1,147,085","781,815,077,570","757,437,563","2.92",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

